comment,category
"Bienvenidos a Roma, donde hablamos de sarcasmobol. No puedo esperar. No puedo esperar a hablar de sarcasmobol porque es muy interesante. Me acompaña el entrenador de los Denver Broncos e inventor del sarcasmobol, Randy Marsh. Gracias por estar aquí, Randy. Me alegro de que estés en el programa.",Sarcástico
"Sterling, señor.",No sarcástico
¡Díselo!,No sarcástico
Y yo voto por mamá y Woodhouse.,No sarcástico
"Y su identificación, por favor.",No sarcástico
El archivo está en el servidor principal del servicio secreto de inteligencia argentino.,No sarcástico
Y por venganza ¿recuerdas cómo me arrancaste la mano?,No sarcástico
"Oye chaval, si tienes un problema con el sistema estás en el lugar equivocado. Aquí sólo fundimos lo que nos mandan de los lugares de compra de oro.",No sarcástico
"Nuestra hija, USUARIA",No sarcástico
¡Oblígame!,No sarcástico
¿Tienes sujetadores?,No sarcástico
¡Te voy a matar!,No sarcástico
¿Tu hija es tuya?,No sarcástico
"El que lo negó, lo proporcionó.",Sarcástico
"""No somos nosotros los que negamos el verdadero valor de vuestras joyas, el dicho hindú en realidad dice ""mai pai pachata hai""""",No sarcástico
Debería haberlo dicho antes,No sarcástico
¿No lo recuerdas? ¿Pero recuerdas el número de tu tarjeta de crédito?,Sarcástico
"Sí, aquí hay uno.",No sarcástico
"Sí, esa Ley te da seca, una sola palabra y…",No sarcástico
Compralo y bebe el jugo,No sarcástico
Bien,No sarcástico
"Oh, parece que algunos ex jugadores de la NFL están entrando al campo. Hay un USUARIO para el safety y linebacker Jim Harrys. Parece que lleva los pantalones por los tobillos. Alguien debería avisarle. Y el excelente Mike Tetfield, que parece estar horneando un pastel imaginario.",Sarcástico
Eso también,No sarcástico
"Y ahora a interpretar el himno sarcasmobol, el cantante Cilo",No sarcástico
"El marcador es cero a cero, mientras los Stines avanzan ante los Broncos.",No sarcástico
¿Nos vamos ya?,No sarcástico
Pero cuesta cincuenta mil. Lo dijeron en el canal de venta de joyas.,No sarcástico
"Por favor, le han disparado.",No sarcástico
"Ah sí, esto podría funcionar.",No sarcástico
"Sí, claro, ahora no puedo parar el sarcasmo.",Sarcástico
"No estamos ganando mucho, amigos.",No sarcástico
Estaba teniendo un sueño feliz sobre una niña y,No sarcástico
"Solo dame eso, cuando yo te dé la señal te atraparé. Idiotas, salgan corriendo y encuentren a Pam y AJ y llévenlos a un lugar seguro antes de que lleguen más imbéciles.",No sarcástico
"Ya que estás aquí, ¿por qué no nos cuentas cuál es la misión?",No sarcástico
¿Entonces el plan de Conway no te parece innecesariamente complicado?,No sarcástico
"Señor USUARIO, escuche, sé que usted se preocupa por su hijo, pero él es un jugador tremendo. Hace cosquillas, se ríe y tiene buen carácter.",Sarcástico
Es viernes por la noche. ¿Por qué demonios sigue habiendo gente aquí?,No sarcástico
¿Te refieres a mí?,No sarcástico
"Está bien, papá. Lo guardaré para más tarde.",No sarcástico
"Porque tengo que herir tus sentimientos, si algo me pasa a mí, y solo a mí Archer, AJ viviría con mis padres.",No sarcástico
Hablaremos de esto más tarde.,No sarcástico
"¡Sí, hablemos de confianza!",No sarcástico
"Y yo, pero alguien me traicionó, un mentiroso aspirante a cantante de country.",No sarcástico
"¿Qué quieres decir? Ya ves que es una bromista, pero te aseguro, señor USUARIO, que todo esto es muy real.",Sarcástico
"¡Muy bien! Disculpen, lo siento. Se ven geniales. ¡Vaya, este juego es genial!",No sarcástico
Deja de decir eso,No sarcástico
"Ella ya no es una bebé, abuelo, tiene trece años.",No sarcástico
En el cielo,Sarcástico
No creo que pueda romper nada,No sarcástico
¿Y puedes prometer eso a pesar de Conway?,No sarcástico
"USUARIO, no lo sé, muchachos.",No sarcástico
"Oh, eso es maravilloso, me haría muy feliz. ¿Quién está ahí?",No sarcástico
"Cállate, sacad a AJ y dejadme el resto a mí.",No sarcástico
¿A mí o a él?,No sarcástico
"No te lo compras, hombre, tú",No sarcástico
Gracias,No sarcástico
Buena suerte con las cartas sangrientas.,Sarcástico
Hablaremos de ello cuando crezcas.,No sarcástico
"Ya tengo el globo, entrenador Marsh. ¿Qué hago ahora?",No sarcástico
"Es cierto, Eric me dice que debería ser mujer por lo mala que soy.",No sarcástico
"Lo sentimos Stanley, no queremos que continúes jugando este deporte.",No sarcástico
"¡Vamos, Archer, 24 horas!",No sarcástico
"Por supuesto, coronel Cal... Espere, Lando Calrissiano.",No sarcástico
Te dije,No sarcástico
"No te preocupes, debe haber otro lugar donde compren oro cerca.",No sarcástico
Malo y excesivo,No sarcástico
¿Estas tratando de hacerme enojar?,No sarcástico
Por favor no les digas nada.,No sarcástico
"Me duelen los brazos... Pon el puto cartel, esto es un negocio",No sarcástico
No me grites que no lo he perdido. Intenta ponerte de pie de nuevo.,No sarcástico
"el resto de nosotros, no veo la necesidad de contarle a Lana lo que pasó. ¿Entendido?",No sarcástico
Ya sabía que por su pelo se haría pasar por latino para colarse.,No sarcástico
Un aplauso para el niño,No sarcástico
Eso es muy genial,No sarcástico
Por supuesto. ¿Puedo tomarlo?,No sarcástico
"Y oye, llámame si las cosas no van bien con el bebé.",No sarcástico
¿Se ha ido?,No sarcástico
Es una yurta,No sarcástico
Creo que lo he logrado,No sarcástico
"Vaya, igual de ridículo",No sarcástico
No sé qué tiene en la cabeza. Y un tal señor USER ya ha venido a verla.,No sarcástico
¿Hablas en serio?,No sarcástico
"USUARIO, eso es todo",No sarcástico
"Porque entonces lo siguiente será mucho más fácil, bien por mí.",No sarcástico
"Han entendido mal. Las joyas que venden en esos canales ni siquiera son nuestras. Son de la India, el mismo lugar de donde provienen sus refranes.",No sarcástico
¿Lo conservas todo?,No sarcástico
"Y si les pasa algo, viviría con mi hermana.",No sarcástico
¿Por qué? ¿Porque fui yo quien le arrancó la mano a Conway?,No sarcástico
"Antes de que me dispares, ¿puedo decirte algo?",No sarcástico
¡Esta vacío!,No sarcástico
Oro de catorce quilates con turquesas y diamantes auténticos.,No sarcástico
"Bueno, papá, fue agradable volver a verte. Íbamos a quedarnos a cenar, pero esta comida le provoca diarrea a Sharon.",No sarcástico
Y un tal señor Ley vino a verla.,No sarcástico
"No, en serio",No sarcástico
Ya no pateamos más,No sarcástico
"Gracias, señor Comisario. Me emociona ser parte de todo esto, gracias.",No sarcástico
¿Qué esmeralda te gusta?,No sarcástico
¿USUARIO negro?,No sarcástico
Sabías que estaba mintiendo.,No sarcástico
Por USUARIO,No sarcástico
"Es broma, son sus tres días libres al año. Normalmente son dos, pero le dejo recuperar uno del año pasado.",Sarcástico
¿Qué? ¿Has terminado de practicar el tiro con arco?,Sarcástico
Este es el viejo,No sarcástico
"Ah, sí, ¿así que tenéis armas aquí?",No sarcástico
¿Y por qué tienes el botiquín en la barra?,No sarcástico
"Idiota, ¡todavía no come sólidos!",No sarcástico
Y creo que me quedaré con ese.,No sarcástico
¿Cómo se pierde un bebé?,No sarcástico
"No, era para saber si tenía que llevar un bolso con el símbolo del dólar.",Sarcástico
Todo tiene su lógica,No sarcástico
"Sí, somos tus padres, no podemos decirte qué hacer.",Sarcástico
"¿Cómo se soluciona, doctor?",No sarcástico
¿Cómo está vacío?,No sarcástico
"Oh, ah... Tres dólares",No sarcástico
"Para tu ridiculez, ¿qué es un tipi?",No sarcástico
"Sí, he ido demasiado lejos.",No sarcástico
"Perdón, perdón, esperen, no debo ser sarcástico. Lo intentaré de nuevo. Escuchen todos, si permiten que sus hijos jueguen al sarcasmoball, son genios.",Sarcástico
"Sí, amigo mío, es una réplica de la corbata del rey Enrique V.",No sarcástico
Lana,No sarcástico
"Ah, sí, yo soy el que inventó el sarcasmoball. No sé cómo entrenarlos.",Sarcástico
"Espera, ¿no es Argentina un aliado nuestro?",No sarcástico
Seis mil dólares,No sarcástico
"Ah, bien hecho, árbitros del partido.",Sarcástico
"Está bien, siete capas, pero esta es mi mejor oferta.",No sarcástico
"De todos modos, Franco lo estaba ejecutando en un apartamento de la CIA, pero varios de sus antiguos compañeros nos estaban esperando y tuve que salir disparando.",No sarcástico
No,No sarcástico
Pero podrías haber conseguido el disco tú mismo. ¿Por qué nos preguntaste aquí?,No sarcástico
¡Oye! ¿Es demasiado pedir dos sesiones de ochenta minutos sin interrupciones durante la maldita jornada laboral?,No sarcástico
Seguro que estás sorprendido,No sarcástico
"Oye, me encanta el sarcasmoball como a todo el mundo, pero a veces es tan emocionante que necesito energía extra para terminar de ver un partido. Entonces es cuando busco una botella de este jugo cremoso de Butters.",Sarcástico
"Bueno, sin duda hay muchas estadísticas interesantes, Dan. Estamos muy preocupados y esperando ver si existe una relación directa entre el fútbol y los traumatismos craneales.",Sarcástico
"No, no podemos. Quiero saber por qué no quieres que sea madre.",No sarcástico
Esto... ¿Vuelvo más tarde?,No sarcástico
Tiene un sabor ahumado y también a cloro.,No sarcástico
"Oh, lo siento, lo siento.",No sarcástico
Esto es ridículo. ¿De verdad vamos a salir a jugar contra los Norths vestidos así?,No sarcástico
tiene,No sarcástico
"Stanley, recoge tus cosas y nos iremos a casa.",No sarcástico
Con la amenaza daré a entender que te dispararé en los genitales y luego me sentaré a beber jerez jamonillado mientras te desangras.,No sarcástico
"¿Qué estás diciendo, Gustof? Dios mío. ¿Qué quieres decir?",No sarcástico
"Entonces, ¿estás contento con todos esos cambios?",No sarcástico
"No, es... blindado.",No sarcástico
Y todavía no entiendo por qué tengo que cargar al niño.,No sarcástico
"Bueno, si la vuelves a asustar, verás como te disparan.",No sarcástico
Y cien grandes,No sarcástico
"Supongo que mientras literalmente te estoy golpeando hasta la muerte, espera, sí, literalmente, la mano gigante cambiará mi selector de medio rudo a mega rudo.",No sarcástico
"¡Qué buen ojo! ¡Es muy listo! Se aprovecha de mí, ¿le gusta follar con mujeres asiáticas?",No sarcástico
"No conozco a este USUARIO, pero",Sarcástico
"Espera, ¿qué?",No sarcástico
¿Y por qué tienes un bebé?,No sarcástico
"Ya verás cómo... Joder, tengo que pasar por ello con algo. ¿Has visto a AJ? Fue una lección de algo que se llama confianza en uno mismo. Y al contrario de lo que te han dicho, nunca viene mal. Y el bourbon. ¿Dónde está el bourbon?",No sarcástico
"¿Qué, qué? ¿Oh? ¡Oh! ¡Papá! Pasó otra vez. Mi cremosidad volvió a salir",No sarcástico
"Y decirte lo que estoy haciendo fue claramente sólo para despistarte, ¿de acuerdo?",No sarcástico
"Tiene razón, muchachos, a partir de ahora sois el capitán Butters. ¡Llevadnos a la victoria!",No sarcástico
"él no le gustan las joyas, abuelo.",No sarcástico
"¡Guau! ¡Bien hecho, USUARIO! ¡Es bueno verte en televisión!",Sarcástico
"USUARIO, ¿no?",No sarcástico
"Ahora soy un verbo, USUARIO. Acepta la idea. Y, por cierto, cúbreme.",No sarcástico
¿No es el sueño improvisado?,No sarcástico
"Entonces, en la CIA no hay ningún topo.",No sarcástico
"De mi prima, la que me regaló no me quedó bien y pensé que con una de verdad me metería más en el papel.",No sarcástico
"Sí, lo soy",No sarcástico
¿Puedo decirte algo antes de que me golpees hasta la muerte?,No sarcástico
"Vivian, acabas de recibir un regalo. ¿Cuál es tu apellido, cariño?",No sarcástico
"No soy abogado laboralista, pero",Sarcástico
"Sí, tengo literalmente miles de armas.",No sarcástico
Estoy buscando una niñera,No sarcástico
"Tengo tres en la bolsa, necesito cuatro para el fin de semana, me voy a Gaylandia.",No sarcástico
Pagué miles y me jodiste,No sarcástico
Literalmente,No sarcástico
"No, no, me estás tomando el pelo. ¡Que te jodan!",No sarcástico
"Espera, ¿hablas urdu?",No sarcástico
"Oh sí Archer, tengo una hermana.",No sarcástico
Eso es lo que dije,No sarcástico
"Esta bolsa es para ropa, esa es para pañales, en la nevera hay leche materna que me disculpo",No sarcástico
"¿Cómo va todo, entrenador?",No sarcástico
"Sí, sí, la madre, no, él estaba cogiendo.",No sarcástico
"De la pequeña J, ha desaparecido.",No sarcástico
¿Hablas en serio?,No sarcástico
"Y mientras sacamos a AJ de aquí, ¿qué vas a hacer?",No sarcástico
"Sí, pero los diamantes no me sirven para nada. Tendría que enviarlos a un fundidor que fundiría el oro y tal vez ganaría unos diez dólares.",No sarcástico
"Sí, abuelo.",No sarcástico
"Oye idiota, soy pakistaní",No sarcástico
Tuve un bebe,No sarcástico
"Vaya, esto es genial, mi semana acaba de mejorar muchísimo.",Sarcástico
Ni aunque te llamen para jugar en primera división jugando en tercera,No sarcástico
Pero hay otras mesas,No sarcástico
Bien dicho,No sarcástico
Y ya estoy de niñera que claramente es un bebé,No sarcástico
"Literalmente, apuñalado por la espalda.",No sarcástico
¡Sé duro con ellos! ¡Ama con compasión!,Sarcástico
"Sí, estábamos un poco desconfiados.",No sarcástico
Eso es todo para ella.,No sarcástico
Deberíamos echar un vistazo,No sarcástico
"Oye, ya es suficiente",No sarcástico
"¿Cómo va todo? ¡Increíble! Nadie está resultando herido, los niños están aprendiendo lecciones valiosas sobre los abrazos y la seguridad, porque de eso se trata el mundo.",Sarcástico
Porque pones en peligro su misión,No sarcástico
perder unos kilos,No sarcástico
"USUARIO, ¿lo ves?",No sarcástico
¿Dónde está qué? ¿Te han tirado la cadena?,No sarcástico
"Un momento, un momento, por favor. Tengo un regalo para mi nieto. Ven aquí, Villy. Ya que has crecido, Villy, es hora de que tengas algo caro y llamativo para impresionar a las chicas.",No sarcástico
¿Por qué no te callas? Tengo que pensar.,No sarcástico
"Oh, parece que te divertiste mucho.",No sarcástico
Sí,No sarcástico
¿Dónde diablos está el botiquín de primeros auxilios?,No sarcástico
"¿Un poquito? Nos mandaste a un… espera, nos seguiste hasta aquí",No sarcástico
"Ya ves, Slater. Cuando los padres se aman mucho...",Sarcástico
Y no es eso lo que quiero decir.,No sarcástico
"Sí, Lana, ahora si me disculpas, necesito atención médica con bastante urgencia, por tu culpa.",No sarcástico
"USUARIO, USUARIO ¿estás celoso de que sea tan guapo?",Sarcástico
"Esta USUARIA, miren como ella armó todo esto solo para que yo la llamara y le pidiera ayuda. Y Slater con sangre falsa. Qué patético es el pobre tipo.",No sarcástico
¿Para criar a mi hija?,No sarcástico
"¿Te gusta jugar duro? ¿Necesitas una bebida deportiva que te dé más energía? Los deportes de hoy son para gente tranquila, así que potencia tu rendimiento con el cremoso jugo Butters. Estarás lleno de buenas sensaciones y serás más tranquilo que un rayo de sol.",Sarcástico
"¡No te metas conmigo, USUARIO!",No sarcástico
Sí y,No sarcástico
"Bueno, tal vez... Aunque se ve mal.",No sarcástico
"Tranquilo. No, joder, no tengo testamento.",No sarcástico
"Oro de catorce quilates, diamantes y turquesas. Te doy quince dólares.",No sarcástico
"Bueno, ahí vamos, Conway, intenta lucir como un presidente. Y Lana, si te ves así, como una dama, lo tienes todo bajo control.",No sarcástico
¿Y no es porque te gusta llevar ese bigote hortera?,No sarcástico
"Lo siento, vi a un chico recibir un disparo.",No sarcástico
¡Les encantará! Un deporte en el que lo único que importa es la seguridad. ¿Por qué no lo llamamos sarcasmoball?,Sarcástico
Me encantan las noches de póquer,Sarcástico
"Gracias USUARIO, porque esa siempre fue mi intención desde que se me ocurrió la idea, sabía que iba a terminar así.",Sarcástico
"""¿La única frase que conoces en urdu es 'no te metas conmigo, bastardo violador de cabras'?""",No sarcástico
No quiero que bebas nada,No sarcástico
¿De quién es la cabeza?,No sarcástico
Quiero saber cuánto me ofrecen por esta corbata de oro y diamantes.,No sarcástico
"Y si has tocado un solo cabello de su cabeza morena, te mataré.",No sarcástico
Señor Slater,No sarcástico
Me encanta el Sarcasmoball. Es mucho mejor que el fútbol. Me alegra que no haya violencia en los deportes. Y el Sarcasmoball es más divertido de ver.,Sarcástico
"No, no, no puedes convertirte en verbo, no lo permitiré.",No sarcástico
"Qué bueno que preparaste té, porque me vendría bien uno con miel y limón, y con bourbon, pero mejor aún sin miel y limón o té.",No sarcástico
"No, no en este. ¿Y qué me dices del interior cremoso del que nos hablaste? ¿El que creemos que tienes dentro y que nos convierte en los mejores jugadores del mundo?",No sarcástico
Alguien está detrás de todo esto y alguien tiene que pagar. Sólo estoy pidiendo una maldita retribución por mi maldito abuelo.,No sarcástico
No pueden decirme qué hacer,No sarcástico
¿Qué dices?,No sarcástico
"Oye, oye, no puedo creer lo que estoy escuchando. Practicamos y nos preparamos para este juego y tú quieres rendirte.",Sarcástico
"Bueno, sácale los ojos, ¿vale?",No sarcástico
"USUARIO, primero quiero agradecerte por haber convertido un juego que amamos en una pesadilla. ¡Bien hecho!",Sarcástico
"¿Tienes idea de cómo se sentiría empezar a perder tus recuerdos? No, porque ninguno de tus familiares sufre de USER, pero yo sí.",Sarcástico
Para controlarte a ti mismo,No sarcástico
"Además, dudo que hable mucho cuando le dispare en la cara.",No sarcástico
O si nos lo vuelve a tocar,No sarcástico
"Maldita sea, bueno, dudo que el robot tenga bourbon y no me apetece un tres en uno con cola, a menos que literalmente no haya nada más para beber.",Sarcástico
Estabas diciendo algo sobre un plan.,No sarcástico
"Bueno, sí, ten cuidado.",No sarcástico
¿Quince dólares?,No sarcástico
"No, en absoluto.",No sarcástico
"Yo los llamo freelancers, sí, cállense por favor. El tema es que hay que sacarlos de la capital argentina.",No sarcástico
"Oh, papá, hola papá.",Sarcástico
Es la misma corbata que llevaba el rey Enrique V.,No sarcástico
¿Es la casa segura para el bebé?,No sarcástico
"Perdón, se llama operación QUETE",No sarcástico
"Sí, claro",No sarcástico
Y sigue callado. ¿Y qué operación lleva adelante la CIA en Argentina?,No sarcástico
"De todos modos, hasta que encuentren al topo y lo saquen, necesito que lo cuides.",No sarcástico
"Bueno, no les pago.",No sarcástico
"Bueno, ya lo has estado haciendo, idiota. ¿Cuánto te dio USER para dispararme?",No sarcástico
"Maldita sea, esto es terrible.",No sarcástico
Es sólo una de las muchas otras cosas que podría estar haciendo.,No sarcástico
¿Todo esto lo planearon ellos? ¿Que me dispararon a mí y a Slater?,Sarcástico
"En serio, bueno, como decía.",No sarcástico
¿Dónde se comprará la leche materna?,Sarcástico
"Está bien, te llamaré cuando resuelvan el problema del topo para que puedas llevarlo a la nueva casa segura.",No sarcástico
¿Pero cómo podrá salirse con la suya?,No sarcástico
"Krieger, te lo juro por tu madre, si te vuelvo a encontrar cerca de la chica,",No sarcástico
"Sí, lo tengo. ¡Genial!",No sarcástico
USUARIO atrapa el balón. Corre hacia la portería y...,No sarcástico
De los diez dobles,No sarcástico
Pero te lo dije por tu propio bien.,No sarcástico
Llévanos solo a él y prestame una camisa,Sarcástico
"Lo siento, no quiero confundirme.",No sarcástico
"USUARIO, dile a Cartman que se calle.",No sarcástico
Ahora se lo voy a decir a la CIA y ellos encontrarán el programa espía.,No sarcástico
"Yo estaba allí en el coche, me serví un trago, llamé a mi peletero, que por cierto me roba sin pudor. Llamé a inmigración para intentar que deporten a su padre. Me serví otro trago, pero ya no quedaba hielo, así que, ¡ah!",No sarcástico
Espera. ¿No te pareció que Archer estaba un poco asustado?,No sarcástico
"Archer, no te hagas el loco. ¿Qué diablos estás haciendo?",No sarcástico
"Por supuesto que hablaremos de ello más tarde, lo prometo.",No sarcástico
"No, es él quien lo negó, quien lo proporcionó.",No sarcástico
"Oh, qué bien, Butters. Es la brújula de la amistad. Cuando tus amigos están cerca, tu pequeña brújula te dice dónde están. Apúntala, porque Jesús es tu amigo.",No sarcástico
"Bienvenido a Tac Bell, ¿te gustan nuestros tacos doritos locos?",No sarcástico
¿Has cruzado el gran río?,Sarcástico
"Hmm… vale, pero entonces seguiremos mi plan.",No sarcástico
"Se lo diré de todos modos, lo estoy usando para plantar mi programa de espionaje ultramoderno en la sede de la CIA para que la inteligencia paquistaní sepa todo lo que hacen en tiempo real.",No sarcástico
"Espera, no literalmente, pero sí muchos.",No sarcástico
"USUARIO, conduce como una puta perra",No sarcástico
"No te metas conmigo, Mani",No sarcástico
Ya lo pensé,No sarcástico
"Bien, USUARIO, ¿crees que si muero serás el tutor legal de AJ?",No sarcástico
A usted tampoco. No me importa que usted sea el presidente y la primera dama de Brasilia que visitan Estados Unidos de buena fe para la sede de los servicios de inteligencia. El coronel Lando de las fuerzas especiales no trabaja para usted. Aunque ha encontrado la tapadera.,No sarcástico
"Y, bueno, hay un dicho hindú que dice que quien lo derritió, lo generó.",No sarcástico
"Vamos, USUARIO, algo habrás hecho, estoy seguro. Pero ahora tienes la oportunidad de enmendar el error, algo que no sucede muy a menudo.",No sarcástico
"La primera línea llenará los huecos. Diles que te gustan sus uniformes. USUARIO, Token, abraza a esos jugadores.",No sarcástico
"¡Guau! ¡Vamos Broncos, vamos! ¡Qué puta alegría!",Sarcástico
¿No?,No sarcástico
"Sí, me gustaría hablar sobre esta nueva regla en el fútbol que prohíbe patear.",No sarcástico
"Recargando, no sé por qué lo digo en voz alta.",No sarcástico
¿Qué tal si lo dejamos terminar?,No sarcástico
"Pero ¿cómo sabían dónde estaba? Por el amor de Dios, ¿hay un topo en la CIA?",No sarcástico
"El entrenador, que venció por 3-0 a los Stillers, debe sentirse un ganador",No sarcástico
"Vamos, no está armado, eso es lo que quiero decir.",No sarcástico
"Bueno, ya lo sabrás.",No sarcástico
"¿Y pensamos que el Norte va a ganar sólo porque es más amable que nosotros? La amabilidad la llevamos dentro. Cuando el enemigo es amable, le devolvemos la amabilidad. Si nos dan dos tipos calvos, les damos tres.",No sarcástico
Te pido que no continúes,No sarcástico
"Sí, todo el mundo debería llevar sujetador. Y en lugar de cascos, sombreros de papel de aluminio, porque estamos en el futuro y no deberíamos ser tan bárbaros.",Sarcástico
¿Por qué traería cerveza?,No sarcástico
"Lo sé, ojalá me hubiera dado el dinero en lugar de esta corbata.",No sarcástico
"Vamos, básicamente si no os matáis unos a otros es porque os faltan armas de fuego.",No sarcástico
"Oh, por amor de Dios.",No sarcástico
¿De qué hablamos?,No sarcástico
"Mucho mejor, hay un bebé.",No sarcástico
Hola chicos,No sarcástico
Sólo ese,No sarcástico
"Sí, pero",No sarcástico
"El entrenador Bellici dijo: ""No podemos vencer a los Broncos. Este entrenador les duró casi un día""",No sarcástico
han bordado,No sarcástico
"Sí, llevo una pipa, hombre, no.",No sarcástico
Y como eres el único aquí que odia a los niños,No sarcástico
¿De dónde sacas las veinte bebidas?,No sarcástico
"Ok, haremos lo siguiente",No sarcástico
No Kane con una K sino,No sarcástico
No recuerdo si deberíamos abrazar al defensor o decirle algo bonito. Estoy confundido.,No sarcástico
"Así es, quien la rimó nos engañó.",No sarcástico
¿No estás preocupado?,No sarcástico
Se acabó. Debería irme a casa y olvidarme de lo que me ha hecho este deporte. ¡Dejad que miles de personas jueguen al sarcasmo y acaben como yo!,Sarcástico
Pensé que se suponía que era irónico.,No sarcástico
¡Ay dios mío!,No sarcástico
¿Qué dices?,No sarcástico
No,No sarcástico
No creo que sea el momento de hablar de eso.,No sarcástico
Como yo,No sarcástico
Encuentra una botella de cremosidad Butters ahora,No sarcástico
No,No sarcástico
"Cállate, no te molestes, te iba a llamar.",No sarcástico
"Has contratado una niñera, hola soy ManÃƒÂ",No sarcástico
¿A quién más iban a elegir?,No sarcástico
Entonces llamemos a ? para decirles que nos vamos.,No sarcástico
"Sí, papá, bebe un poco de esto.",No sarcástico
"¿A ti qué te importa, Lana?",No sarcástico
Y yo. Pagar para pasar veinticuatro horas en una yurta es sin duda la mayor estupidez que has cometido en tu vida.,No sarcástico
"Y eso es algo muy sagrado para nosotros, ¿te ayudamos a buscar a la pequeña J? En unos quince o cuarenta minutos.",No sarcástico
"Sería como dejarlo ciego, pobrecito.",No sarcástico
"Demostrando lo que un padre preocupado puede lograr, Marsh terminó hablando frente a los líderes de Washington.",No sarcástico
"No, amigo mío, es increíble.",Sarcástico
"Gracias doctor, muchas gracias usted mató al paciente",Sarcástico
"Sí, porque tengo mucho tiempo para eso, USUARIO. De hecho, ¿por qué no preparas una cena de cuatro platos para todos, o mejor aún, una cena de siete platos?",Sarcástico
¿De verdad crees que existe una conexión entre el sarcasmo y el sarcasmobol? ¡Qué interesante! ¡Sigue hablando!,Sarcástico
¿Practicar un lunes después de una victoria? ¡Genial!,Sarcástico
"Hola, todos, escuchen. Hay algo que deben saber sobre el sarcasmobol: es un juego completamente seguro, sí, súper seguro, es tan seguro que todos los niños del país deberían jugarlo.",Sarcástico
"¡Sí, soy un gran fan de todos tus temas de moda!",Sarcástico
"¿Ves esto? Ya que estamos, podríamos sustituir la pelota por un globo. La persona que atrape el globo correrá mientras los demás jugadores se abrazan.",Sarcástico
"No, USUARIO. ¡Claro que no!",Sarcástico
¿De dónde? ¿Del vientre de tu madre?,Sarcástico
"Maldita sea, es un maldito campo multiusos.",Sarcástico
"USUARIO, pajarita, Stan",Sarcástico
"Sí, no, no. Bien hecho por ti.",Sarcástico
"Bueno, tengo una idea aún más brillante. Utilicemos los recursos de investigación sobre el cáncer y las enfermedades genéticas para crear anuncios que transmitan el mensaje: ""Ey, público, tal vez el sarcasmo no sea beneficioso para vosotros"".",Sarcástico
Es sorprendente lo generoso que es.,Sarcástico
"Por supuesto, está fumando al lado de la chica.",Sarcástico
Sabía en lo más profundo de mi corazón que yo era uno de los buenos.,Sarcástico
"Vamos, démonos palmaditas en la espalda.",Sarcástico
"No, no, la bola del sarcasmo no tiene nada que ver, simplemente disfruto mucho el sarcasmo y necesito encontrar excusas.",Sarcástico
Caminando con una empanada familiar,Sarcástico
Ahora mismo mi hijo disfruta de ese juego. Me pone feliz ver cuánto le importa su bienestar.,Sarcástico
"Como comisionado de la NFL, me emociona ver a los jóvenes de nuestro país adoptar el sarcasmo en lugar del fútbol tradicional. Pero ¿por qué detenerse allí? Dado que el fútbol es un deporte bárbaro, también deberíamos cambiar. Demos la bienvenida al nuevo entrenador de los Denver Broncos, Randy Marsh. Felicitaciones Marsh, buen trabajo.",Sarcástico
"Es evidente que cree que tiene un plan, así que ¡vamos, dejémosle hablar!",Sarcástico
"¡Dios mío, sí! Me encantaría ser el entrenador del equipo de Sarcasmobol.",Sarcástico
"Sí, no queremos que los niños se lastimen jugando al fútbol, pero creo que tengo una forma de mejorarlo aún más. ¿Por qué los jugadores no usan protección?",Sarcástico
Pero ¿es realmente necesario el uso de armas? Me pregunto esto con toda seriedad.,Sarcástico
"Por supuesto, le hizo algo a mi cerebro y ahora no puedo dejar de ser sarcástico.",Sarcástico
No quieres que consuma alcohol.,Sarcástico
"Sí, estamos hartos de que nuestros niños se lastimen jugando en el campo. Deberíamos hacer del sarcasmo el deporte oficial en todas las escuelas.",Sarcástico
Esto es genial. Es maravilloso que hayan venido en gran número a mostrar su apoyo al sarcasmo.,Sarcástico
"Si realmente lo pienso, ayúdame, USUARIO, ayúdame.",Sarcástico
"Sí, Stan, eso es lo que la gente quiere. No te preocupes, te ves genial.",Sarcástico
"¡Vamos, USUARIO, vamos!",Sarcástico
Ya sea en un motel o en el baño...,Sarcástico
"Sí, por supuesto, sobre todo después de las malas experiencias.",Sarcástico
"Corten, disculpen, lo intentaré de nuevo. Sugiero que estaría bien tener diez ligas de sarcasmoball para que todos puedan participar. ¡Oh, maldita sea!",Sarcástico
"Sí, me asustó mucho la agresiva línea delantera del otro equipo.",Sarcástico
¿Hacer ejercicio un lunes? ¡Eso era exactamente lo que estaba esperando!,Sarcástico
¿Sabes qué? Tengo un paciente de Alzheimer de cincuenta años esperándome que ni siquiera recuerda a su familia. Dejemos su caso a un lado y centrémonos en los posibles efectos del sarcasmobol en,Sarcástico
"Oh, sí, eso es excelente.",Sarcástico
"Bienvenidos a Roma, donde estamos hablando de sarcasmobol. Estoy emocionado de hablar de sarcasmobol porque es fascinante. Me acompaña el entrenador de los Denver Broncos e inventor del sarcasmobol, Randy Marsh. Gracias por estar aquí, Randy. Estoy encantado de tenerte aquí.",Sarcástico
"Parece que algunos ex jugadores de la NFL están entrando al campo. Martin Gregors está allí para la seguridad, junto con la defensa de Jim Harrys. Parece que lleva los pantalones demasiado bajos. Alguien debería avisarle. Y luego está el talentoso Mike Tetfield, que parece estar fingiendo",Sarcástico
